DEBUG 2025-02-11 21:05:27,879 connectionpool 283 140711062922944 Starting new HTTPS connection (1): api.cloudinary.com:443
DEBUG 2025-02-11 21:05:30,311 connectionpool 283 140711062922944 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/upload HTTP/1.1" 200 None
DEBUG 2025-02-11 21:06:15,552 connectionpool 283 140711062922944 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/destroy HTTP/1.1" 200 None
DEBUG 2025-02-11 21:06:29,365 connectionpool 283 140711062922944 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/upload HTTP/1.1" 200 None
DEBUG 2025-02-11 21:12:18,878 connectionpool 283 140711062922944 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/destroy HTTP/1.1" 200 None
DEBUG 2025-02-11 21:13:47,119 connectionpool 283 140711062922944 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/upload HTTP/1.1" 200 None
DEBUG 2025-02-11 21:16:20,612 connectionpool 283 140711062922944 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/destroy HTTP/1.1" 200 None
DEBUG 2025-02-11 21:17:18,270 connectionpool 283 140710980351680 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/upload HTTP/1.1" 200 None
DEBUG 2025-02-11 21:21:01,606 connectionpool 283 140710980351680 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/destroy HTTP/1.1" 200 None
DEBUG 2025-02-11 21:22:25,744 connectionpool 283 140710980351680 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/destroy HTTP/1.1" 200 None
DEBUG 2025-02-11 21:22:36,074 connectionpool 283 140710980351680 https://api.cloudinary.com:443 "POST /v1_1/dzpketlhv/image/upload HTTP/1.1" 200 None
